name,Gender,party,riding,province,locale,wikipedia-url,born,profession,profession_group
Mel Arnold,M,Conservative,North Okanagan-Shuswap,British Columbia,BC Interior,/wiki/Mel_Arnold,1/1/1958,Entrepreneur,Small Business Owner/Entrepreneur
Bob Zimmer,M,Conservative,Prince George-Peace River-Northern Rockies,British Columbia,BC Interior,/wiki/Bob_Zimmer,10/20/1968,Teacher (North Peace Secondary School),Teacher
Nathan Cullen,M,NDP,Skeena-Bulkley Valley,British Columbia,BC Interior,/wiki/Nathan_Cullen,7/13/1972,Private consultant,Business Consultant
Richard Cannings,M,NDP,South Okanagan-West Kootenay,British Columbia,BC Interior,/wiki/Richard_Cannings_(British_Columbia_politician),3/31/1954,Biologist,Scientist
Ed Fast,M,Conservative,Abbotsford,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Ed_Fast,6/18/1955,Municipal Politician,Municipal Politician/Mayor
Mark Strahl,M,Conservative,Chilliwack-Hope,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Mark_Strahl,3/26/1978,Political Staffer,Political Advisor/Staffer
John Aldag,M,Liberal,Cloverdale-Langley City,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/John_Aldag,1/1/1963,Civil servant,Civil Servant
Carla Qualtrough,F,Liberal,Delta,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Carla_Qualtrough,10/15/1971,Lawyer,Lawyer
Ken Hardie,M,Liberal,Fleetwood-Port Kells,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Ken_Hardie,1/1/1947,Public Relations Manager,PR Consultant/Manager
Mark Warawa,M,Conservative,Langley-Aldergrove,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Mark_Warawa,5/7/1950,insurance executive,Business Executive
Jati Sidhu,M,Liberal,Mission-Matsqui-Fraser Canyon,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Jati_Sidhu,1/1/1952,Business Executive,Business Executive
Dan Ruimy,M,Liberal,Pitt Meadows-Maple Ridge,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Dan_Ruimy,1/1/1962,Small Business Owner,Small Business Owner/Entrepreneur
Alice Wong,F,Conservative,Richmond Centre,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Alice_Wong,6/30/1948,College Administrator,Education Administrator
Dianne Lynn Watts,F,Conservative,South Surrey-White Rock,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Dianne_Watts,10/30/1959,Mayor,Municipal Politician/Mayor
Joe Peschisolido,M,Liberal,Steveston-Richmond East,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Joe_Peschisolido,4/27/1963,Lawyer,Lawyer
Randeep Sarai,M,Liberal,Surrey Centre,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Randeep_Sarai,1/1/1974,Lawyer,Lawyer
Sukh Dhaliwal,M,Liberal,Surrey-Newton,British Columbia,Fraser Valley and Southern Lower Mainland,/wiki/Sukh_Dhaliwal,10/1/1960,Engineer,Engineer
Terry Beech,M,Liberal,Burnaby North-Seymour,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Terry_Beech,4/2/1981,Entrepreneur,Small Business Owner/Entrepreneur
Kennedy Stewart,M,NDP,Burnaby South,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Kennedy_Stewart_(Canadian_politician),11/8/1966,Politicianacademic,Academic/Professor/Researcher
Ron McKinnon,M,Liberal,Coquitlam-Port Coquitlam,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Ron_McKinnon_(politician),8/8/1951,Computer Systems Analyst,Computer Systems Analyst
Peter Julian,M,NDP,New Westminster-Burnaby,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Peter_Julian,4/16/1962,Political Staffer,Political Advisor/Staffer
Jonathan Wilkinson,M,Liberal,North Vancouver,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Jonathan_Wilkinson_(politician),1/1/1965,Businessman,Small Business Owner/Entrepreneur
Fin Donnelly,M,NDP,Port Moody-Coquitlam,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Fin_Donnelly,5/27/1966,Municipal Politician,Municipal Politician/Mayor
Hedy Fry,F,Liberal,Vancouver Centre,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Hedy_Fry,8/6/1941,Physician,Doctor
Jenny Kwan,F,NDP,Vancouver East,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Jenny_Kwan,1/1/1967,Provincial Politician,Provincial/Territorial Politician
Jody Wilson-Raybould,F,Liberal,Vancouver Granville,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Jody_Wilson-Raybould,3/23/1971,Indigenous Leader,Indigenous Leader
Don Davies,M,NDP,Vancouver Kingsway,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Don_Davies,1/16/1963,Lawyer,Lawyer
Joyce Murray,F,Liberal,Vancouver Quadra,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Joyce_Murray,7/11/1954,Entrepreneur,Small Business Owner/Entrepreneur
Harjit Sajjan,M,Liberal,Vancouver South,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Harjit_Sajjan,9/6/1970,Military Officer,Military Officer
Pam Goldsmith-Jones,F,Liberal,West Vancouver-Sunshine Coast-Sea to Sky Country,British Columbia,Vancouver and Northern Lower Mainland,/wiki/Pamela_Goldsmith-Jones,5/14/1905,Business Consultant,Business Consultant
Gord Johns,M,NDP,Courtenay-Alberni,British Columbia,Vancouver Island,/wiki/Gord_Johns,11/29/1969,Municipal Politician,Municipal Politician/Mayor
Alistair MacGregor,M,NDP,Cowichan-Malahat-Langford,British Columbia,Vancouver Island,/wiki/Alistair_MacGregor,Unknown,Executive Assistant,Executive Assistant
Randall Garrison,M,NDP,Esquimalt-Saanich-Sooke,British Columbia,Vancouver Island,/wiki/Randall_Garrison,8/27/1951,Municipal Politician,Municipal Politician/Mayor
Sheila Malcolmson,F,NDP,Nanaimo-Ladysmith,British Columbia,Vancouver Island,/wiki/Sheila_Malcolmson,3/26/1966,Provincial Politician,Provincial/Territorial Politician
Rachel Blaney,F,NDP,North Island-Powell River,British Columbia,Vancouver Island,/wiki/Rachel_Blaney,1/1/1974,Executive Director (non-profit),Nonprofit Executive
Elizabeth May,F,Green,Saanich-Gulf Islands,British Columbia,Vancouver Island,/wiki/Elizabeth_May,6/9/1954,NGO Executive,Nonprofit Executive
Murray Rankin,M,NDP,Victoria,British Columbia,Vancouver Island,/wiki/Murray_Rankin,1/26/1950,Law Professor,Professor
Hunter Tootoo,M,Liberal,Nunavut,Nunavut,,/wiki/Hunter_Tootoo,8/18/1963,Provincial/Territorial Politician,Provincial/Territorial Politician
Michael McLeod,M,Liberal,Northwest Territories,Northwest Territories,,/wiki/Michael_McLeod_(politician),9/6/1959,Provincial/Territorial Politician,Provincial/Territorial Politician
Larry Bagnell,M,Liberal,Yukon,Yukon,,/wiki/Larry_Bagnell,12/19/1949,NGO Executive,Nonprofit Executive
